Bitcoin,Ethereum,XRP,Bitcoin Cash,Litecoin,EOS,TRON,Cardano,Monero,NEO,IOTA,Dash,Ethereum Classic,NEM,Dogecoin,Zcash,Decred,Qtum,Bitcoin Gold,Lisk,Stellar
0.46%,4.52%,-0.43%,-0.81%,4.61%,2.31%,-1.76%,4.34%,2.55%,3.80%,1.08%,1.69%,1.93%,2.65%,-0.26%,1.02%,2.83%,-0.54%,2.11%,1.98%,-0.62%
-1.28%,-2.86%,-2.35%,-4.06%,-7.89%,-3.14%,-4.27%,-2.43%,-3.29%,1.77%,-4.02%,6.14%,-2.27%,-0.92%,-2.06%,1.17%,-2.26%,0.04%,-2.66%,0.32%,-3.80%
0.30%,1.15%,0.87%,0.75%,1.76%,6.84%,-0.43%,0.17%,1.71%,1.51%,2.26%,3.08%,-0.01%,-1.07%,-0.53%,4.19%,0.64%,-0.68%,0.91%,-1.04%,0.06%
-0.59%,0.01%,-0.37%,-0.18%,-4.19%,-2.49%,-1.43%,-1.53%,0.57%,0.58%,-1.53%,-2.64%,0.88%,-1.22%,-0.05%,-1.70%,-0.27%,0.68%,-0.37%,-1.32%,-0.86%
-0.39%,-0.84%,-0.69%,-1.19%,-0.56%,-4.14%,-1.98%,-1.45%,-4.98%,-4.00%,-0.59%,-2.55%,0.13%,-0.96%,0.32%,-2.19%,-0.49%,-0.17%,-0.57%,-0.62%,-0.44%
0.10%,0.53%,-0.12%,-0.18%,2.54%,1.79%,1.22%,0.16%,1.32%,2.25%,1.15%,0.72%,-0.57%,0.12%,0.63%,-0.82%,0.12%,-0.21%,0.41%,-0.40%,3.41%
0.40%,0.71%,0.03%,0.29%,1.95%,0.70%,-0.37%,1.00%,-1.01%,-1.80%,0.99%,0.60%,-0.95%,2.02%,0.89%,1.29%,-0.08%,0.17%,-2.54%,2.64%,-0.99%
1.11%,8.46%,0.60%,2.01%,1.23%,3.02%,-0.61%,1.04%,2.55%,5.37%,1.05%,0.10%,2.12%,1.39%,3.59%,0.62%,2.10%,0.58%,1.52%,5.07%,1.53%
6.66%,9.82%,6.10%,15.56%,9.48%,20.52%,4.83%,9.98%,7.66%,5.45%,9.79%,8.56%,5.59%,1.32%,6.07%,5.58%,4.31%,-1.33%,10.36%,3.32%,5.14%
0.91%,-0.72%,0.73%,-0.70%,-0.56%,1.52%,-0.06%,1.04%,1.25%,1.93%,0.00%,1.76%,3.93%,0.26%,-2.32%,0.45%,-3.79%,0.51%,4.20%,-2.87%,7.36%
1.35%,3.02%,2.88%,3.55%,8.29%,10.41%,0.99%,2.98%,-0.27%,2.34%,3.09%,-0.35%,2.48%,2.95%,0.68%,-0.77%,-1.64%,-0.67%,1.40%,1.37%,1.89%
-1.15%,-2.16%,-3.48%,-3.37%,-5.18%,-3.23%,-1.58%,-5.50%,-3.59%,-6.06%,-4.40%,-2.69%,-4.32%,0.17%,-1.84%,-2.35%,-3.48%,-1.18%,-1.81%,-1.34%,-2.94%
1.34%,2.07%,0.14%,1.60%,1.37%,2.45%,1.48%,2.49%,4.58%,1.73%,1.39%,1.36%,4.33%,1.14%,1.28%,1.13%,3.51%,0.04%,0.12%,3.66%,1.93%
3.59%,6.81%,3.52%,5.78%,4.05%,10.12%,1.29%,5.68%,2.27%,16.22%,5.86%,3.94%,2.84%,-0.11%,1.36%,4.83%,3.47%,0.42%,6.59%,0.67%,3.90%
-8.08%,-14.51%,-9.46%,-15.52%,-13.55%,-16.02%,-6.50%,-12.87%,-8.71%,-10.81%,-11.68%,-9.56%,-13.37%,-0.64%,-5.46%,-8.01%,-9.84%,0.58%,-9.09%,-8.23%,-10.76%
1.99%,3.19%,9.25%,4.50%,3.67%,0.25%,3.10%,4.45%,2.46%,3.18%,2.00%,3.30%,3.23%,0.90%,2.89%,1.76%,2.09%,0.25%,4.94%,1.54%,4.06%
-0.63%,-1.11%,-2.53%,-1.16%,-1.48%,-3.45%,0.28%,-1.50%,-1.38%,-2.37%,-1.13%,-1.00%,0.82%,0.22%,-0.30%,-0.66%,2.56%,-0.40%,1.07%,1.73%,-0.42%
-0.17%,-1.38%,-2.06%,-1.15%,0.18%,1.53%,-1.04%,-0.14%,0.71%,-1.99%,0.25%,-0.85%,0.24%,1.50%,-0.25%,-0.83%,-0.80%,-0.37%,-1.78%,-1.04%,-0.84%
0.17%,0.34%,0.63%,-0.53%,1.36%,0.06%,-1.10%,-0.28%,-1.55%,-0.39%,-0.59%,1.14%,-1.28%,0.41%,-2.08%,-1.80%,-0.04%,0.20%,-0.47%,-0.17%,-0.59%
0.15%,-0.29%,0.71%,0.67%,2.71%,-0.59%,-0.64%,0.39%,0.90%,0.98%,4.30%,0.00%,0.19%,-0.14%,0.91%,0.69%,-0.32%,0.24%,0.30%,-0.16%,0.38%
0.24%,-1.57%,-0.56%,-0.29%,3.23%,0.65%,-3.10%,-0.88%,0.77%,-2.18%,-0.93%,-0.07%,0.02%,-0.27%,0.55%,-0.41%,2.42%,-0.49%,-0.87%,0.82%,-1.63%
-0.39%,-1.88%,-0.73%,-0.77%,-1.31%,1.07%,-0.92%,-1.26%,0.32%,-1.22%,-2.77%,-1.51%,0.23%,-0.71%,-0.15%,-1.46%,-1.82%,0.28%,-1.94%,-0.35%,3.48%
